"","species","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14","PCNM15","PCNM16"
"84","clarkii",-97.601162,30.501395,1,0.794422209262848,-0.525674402713776,0.0680173486471176,0.0701516419649124,-0.951525151729584,-0.0818822383880615,-0.0934356487863793,-0.0228032826206545,0.0689251416980392,-0.0713861497925837,-0.110873418163039,0.0945321627191116,0.0225139398622301,0.141339710821091,-0.0333122423077934,-0.0126213458027092,-0.110844037329173,0.0361154798477312,-0.0164317963538381,0.0491505152488943,0.191421377138742,-0.156725136614095
"85","clarkii",-97.603265,30.529976,1,1.0845685005188,0.0304278004914522,-0.244696468114853,0.127521157264709,0.060393288731575,0.0244303178042173,-0.117907052263543,-0.015118262859907,0.0352562081571955,-0.132210299287892,-0.0740839606195466,0.0163319482625473,-0.0285905497172281,0.0578111326442136,-0.165569981561027,-0.0582114969973637,0.201586327343697,-0.124541605937569,0.0318484100907775,0.122991780025619,0.0233929330971593,-0.00269051518666417
"91","clarkii",-97.614927,30.556153,1,1.17549645900726,-0.216496184468269,-0.219824656844139,-0.337684482336044,-0.125967189669609,-0.125430792570114,-0.125224654386062,-0.0119153279720661,0.0256951420235414,-0.142592576931476,-0.0467906981522917,-0.011181530018193,-0.0678775246827146,0.0354884210825373,-0.252758328006388,0.00115949755100173,0.240786129380512,-0.104084549681819,-0.0472931403989488,0.0533113641226974,-0.0234546847459197,0.0349394509974021
"94","clarkii",-97.633126,30.401107,1,1.43656766414642,-0.0604990571737289,0.146283030509949,-0.267375558614731,-0.180406823754311,-0.0661433413624763,-0.0610424633732194,-0.0272827731813742,0.063976984286778,0.0213379690859412,-0.0234280174158577,0.123849053373638,-0.106686873838579,0.131513464530007,0.0231143469293236,0.0363998567744539,-0.0338326802921778,0.0596294178427473,-0.0840862012999019,0.132029224078383,-0.173879153493344,0.25351845130327
"100","clarkii",-97.650433,30.513093,1,1.14162373542786,-0.0413502529263496,-0.182226553559303,-0.0433120541274548,-0.139471650123596,-0.0582357086241245,-0.0933444652936951,-0.0231610796788502,0.0678362701384829,-0.0714016445807382,-0.111937170957196,0.0944142429561051,0.0226610393649595,0.141891041721243,-0.0321978929908506,-0.0136624351364074,-0.111404028101527,0.0369515325667622,-0.0148492414379312,0.0486903326276135,0.191045610309528,-0.156037617037807
"102","clarkii",-97.659172,30.655119,1,0.948161840438843,-0.134130135178566,-0.43347555398941,-0.206730902194977,-0.131178960204124,-0.0817131400108337,-0.151705769525917,-0.000601377431985375,-0.0403383040760743,-0.156806608786001,0.07749562439902,-0.0368225808997702,-0.132865873839333,-0.0654247273358836,0.0862729854321336,-0.033047168045924,0.0032383293220603,0.0249883726935977,-0.147193562484696,0.204709033274192,0.0622825389835321,-0.0832886467043488
"106","clarkii",-97.672071,30.171389,1,1.70689690113068,0.493901282548904,0.825612545013428,-0.506660521030426,0.371584087610245,0.156428948044777,0.00949087706743732,-0.0442911377236797,0.0874487748797805,0.0130566852735826,0.130817113646725,-0.0484392083276973,0.107395791443338,-0.104510303594679,-0.0207616600992468,-0.116631677980924,0.0125654596935649,-0.0384871869748847,-0.08496190498095,-0.0172410115132496,0.199152030772218,0.156186561266442
"110","clarkii",-97.672634,31.039674,1,0.520869672298431,-0.485747933387756,-0.329790860414505,-0.198128774762154,-0.252796173095703,-0.0625362545251846,-0.170457781585957,-0.00300692640760366,-0.150920656902081,0.0347912902406121,0.207982182388785,0.113582213531102,0.1631561110611,0.0818830461143498,0.0868758830243961,0.0843761096062936,0.0307450817767245,-0.132528363769869,-0.00916144025704017,-0.213083620886889,0.00133585521731952,0.0334128334580248
"113","clarkii",-97.673216,30.645978,1,0.915413498878479,-0.27598375082016,-0.224419057369232,-0.194894343614578,-0.260111510753632,0.127404943108559,-0.146123076548037,-0.00367750726130626,-0.0269253714937585,-0.167670247132775,0.051915978632268,-0.043202046742867,-0.143651121699274,-0.0735298657212507,0.00844709773600283,-0.0465240598673674,0.10426726251412,0.0817323631064537,-0.179065009200746,0.0333498607356188,-0.0270433444599733,-0.0281186546858196
"120","clarkii",-97.68824,30.400356,1,1.36164951324463,-0.177516013383865,0.213946610689163,-0.313051104545593,-0.230750426650047,-0.0570586994290352,-0.0352682157820468,-0.0502662797999864,0.0011578046368561,0.114032987576595,-0.00764913069138365,0.000545631564246535,-0.0676073138234142,-0.0235339963715157,0.0230491614508965,0.0571597599868178,0.0560167558903131,0.0204241364050729,0.0327095354245192,-0.00481768115584007,0.0401055496640697,-0.0118369501720114
