"","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14"
"Simulans 276",-97.118592,32.03438,1,0.791531622409821,-0.877625048160553,-1.53264737129211,-0.971435844898224,1.19456934928894,-0.276701927185059,0.152331558955033,-0.207878582115512,0.0797710177141691,0.0795879038323455,-0.0549144446349457,-0.327968299805776,-0.0526849205089288,0.161834772373156,-0.00670165439560768,0.103823651227574,0.00199124360800823,-0.0267013079305093,0.00883025019772195,0.00108693710061658
"Simulans 279",-97.580652,31.780708,1,0.0106800394132733,-0.676290154457092,-1.6221889257431,-0.906488239765167,0.952306926250458,-0.137751936912537,0.175730966185756,-0.246793487665547,0.0858309257351826,0.0330200053667627,-0.119505323395336,0.0741272108540106,0.00246443527188106,0.303291802881139,-0.0454932593977248,-0.24873675531266,-0.028147628345855,-0.00152926871139281,-0.144946698284318,0.00201090895300705
"Simulans 280",-98.1033,31.728383,1,-1.51076638698578,-0.663661122322083,-1.50638771057129,-0.582349717617035,0.190720438957214,0.00394463771954179,0.140408585665639,-0.17180587785199,0.0634646014119654,0.0568488634897233,0.0836635607602626,0.419382013329737,0.046733499529724,-0.00158040860908753,-0.0237413053047838,-0.0439320339778636,-0.00538866454743984,-0.0152943685486343,0.0261518650387785,0.0014056165356581
"Simulans 285",-98.159852,31.556475,1,-1.60443997383118,-0.492561817169189,-1.41800940036774,-0.520338296890259,-0.228905886411667,0.0339249409735203,0.111278962133177,-0.0797217602349991,0.01015004182999,-0.0371382094192629,0.00269168080511458,0.438222207434765,0.0493596955192133,0.253083672475414,0.050496789772426,0.0283452036709642,0.0163737291698133,-0.0093384474700108,0.319429308786835,-0.0137260872420515
"Simulans 288",-97.203255,31.452592,1,0.95289808511734,-0.69552618265152,-1.20047831535339,-0.514296770095825,0.844713568687439,-0.155571594834328,0.126421088458142,-0.0661023966975773,-0.0207784702173883,-0.186630498896387,-0.411165302563574,-0.146701508830301,-0.0222154603825147,0.144452992464997,-0.0409901420169384,-0.166686969795001,-0.0202295086931172,0.0137765133480934,-0.117010839650621,0.00384284256398438
"Simulans 291",-97.409797,31.141025,1,0.559187412261963,-0.937120795249939,-1.12709105014801,-0.224065020680428,-0.148385554552078,-0.118417739868164,0.115009565914684,-0.0288742328322066,-0.039620091940087,-0.22167255569407,-0.378982568794408,0.102191758699707,0.00070520773562948,-0.121826343226554,-0.0682307338374712,0.143450358076312,-0.00192421195109671,-0.0840031465918282,-0.379516300438803,-0.00694672961754458
"Simulans 294",-98.173311,31.068959,1,-1.11502194404602,-0.0814233347773552,-1.14114713668823,-0.136874824762344,-0.105203352868557,0.00221464317291975,0.0893722852369686,-0.0292977780787064,-0.0116702856832896,-0.128252002820277,-0.0663522304660355,0.379674861556581,-0.0161060085639052,0.119331971808645,0.00537136126927838,0.622613165859567,0.0375429613296888,-0.127552732774537,-0.00564099701368806,-0.00319379388709956
"Simulans 296",-97.101843,31.013393,1,2.2503490447998,-0.34364902973175,-0.303317308425903,-0.40172490477562,0.985397696495056,-0.405710846185684,0.0987434782246893,0.00706448532733243,-0.0521693153078942,-0.203441873225604,-0.338790709800073,-0.0146837901399333,0.0047980929170218,-0.308352516540282,-0.049284188633376,-0.062575749407107,-0.00766614840723007,0.0140963607444076,-0.173935594278733,-0.00513646359431179
"Simulans 298",-96.933288,30.929762,1,2.92488861083984,0.238544687628746,-0.0590893812477589,-0.55929571390152,1.33497023582458,-0.406252056360245,0.106944596944653,0.045402809895531,-0.0332885742181041,-0.189290906684197,-0.347703429053851,-0.0168082879893856,0.00282365825170885,-0.35931216760775,-0.0767103080755056,-0.0923845893056348,-0.0157744408010148,0.0139051154002564,0.498489903447977,0.00766939907170738
"Simulans 300",-96.285,30.726667,1,4.10322618484497,-0.475150495767593,-0.331178784370422,0.165976241230965,0.662319719791412,-0.32948249578476,0.135565601654786,0.292070831023952,0.110505387897425,0.0645647557262794,-0.0526171754425891,-0.00889102985630165,-0.0070050635447826,-0.116951003393907,-0.0573943130369599,-0.0542228819952771,-0.0137950861200603,-0.00137681364244066,0.526357698730677,0.00934453360283808
